,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.departure_time,O_location,D_location,OD_id,matching_prob,ride_distance,detour_distance,shared_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker,saved_distance_for_seeker,saved_distance_for_taker,origin_id,destination_id,lambda
1839,17592592656307,2017-05-13 08:56:49,1063.0,1822.0,1226,0.9999840854959788,2849.8064621222084,553.9804903832375,2051.6558958650608,3159.897926383763,864.0719546447901,1799.017514994911,2483.8934765325025,188.0675047935315,1289.8167151100572,299.0390840609614,298.99917675130627,1063,1822,0.0333333333333333
1840,17592591554476,2017-05-13 08:08:26,1182.0,3744.0,1477,0.9989978908479932,1758.2720474129626,436.27727315100987,1304.295168409239,2446.4525983903523,1124.457824128399,1356.7916195498171,1404.3173752201596,82.3226009582071,877.2069107380829,-669.8457458419521,-1282.634998475315,1182,3744,0.0166666666666666
1841,17592591804588,2017-05-13 08:22:44,77.0,2192.0,152,0.9999999663813046,7764.1927484686785,1329.9445587375328,3932.102384320362,7787.67299106827,1353.4248013371323,3838.21806960696,7145.1497516432,710.9015619120535,2176.539745057523,860.8782417047853,1844.6335657083,77,2192,0.0166666666666666
1842,17592592099216,2017-05-13 08:33:13,3391.0,1310.0,3335,0.999854400803546,5053.4018015631655,1011.065554116014,2889.7975065149803,5041.672237101807,999.335989654656,2729.839655044605,4404.210905828979,361.87465838182834,1116.4329232164946,229.47972073341208,712.1044747502341,3391,1310,0.0166666666666666
1843,17592592602827,2017-05-13 08:58:26,778.0,544.0,792,0.9999981825112978,10550.68520723309,1577.6360226381796,4053.059593569752,10753.543625892064,1780.494441297153,3970.0037498467073,9581.844329450316,608.7951448554021,1892.815883401111,741.5768990694822,2110.67297154422,778,544,0.0166666666666666
1844,17592591397086,2017-05-13 08:03:15,2666.0,3287.0,2946,0.9971737335650458,5263.525189651862,1249.0013460247746,2883.381958559523,5303.489757196487,1288.9659135693942,2760.507293818219,4499.913134075568,485.38929044847936,1247.9960830490147,226.85436195832224,520.0009292714109,2666,3287,0.0166666666666666
1845,17592591584640,2017-05-13 08:12:36,2364.0,1774.0,2752,0.9883996522706464,2690.057351936888,634.9073943868758,1798.0129404526365,3055.451356215847,1000.3013986658318,1722.7935792035655,2122.8848182493584,67.73486069934529,821.186155404903,406.4525340458137,19.29608465172271,2364,1774,0.0166666666666666
1846,17592591886331,2017-05-13 08:25:06,1466.0,490.0,1863,0.9999999636300736,11037.151726532862,996.408135326888,5953.685491070492,11151.912641106235,1111.169049900269,6416.574728751191,10441.849434796051,401.10584359008055,2516.043269602115,1563.842972368794,4501.064896912927,1466,490,0.0166666666666666
1847,17592592006522,2017-05-13 08:33:38,1374.0,1313.0,1826,0.9997399905134045,2231.9957504189115,412.6687303634834,1611.092123172568,2727.0397970586578,907.712777003231,1367.875715287701,1871.7880300828629,52.46101002743482,1068.2779141079857,-116.63643068734088,-286.0120482992255,1374,1313,0.0166666666666666
1848,17592592023555,2017-05-13 08:35:52,1747.0,2363.0,2137,0.9999999638546038,6612.941170970239,971.5331742025564,4073.037810082764,6914.315470401433,1272.9074736337489,4114.069349454988,5935.489015400772,294.0810186330884,1883.4952025636856,1077.7861038002388,2057.533316094592,1747,2363,0.0166666666666666
1849,17592592307204,2017-05-13 08:45:20,1179.0,3835.0,1459,0.9998894190205536,23737.44440946467,1503.842589786609,5590.446751015513,24077.218752381486,1843.616932703436,5531.703326142489,22947.525698796373,713.9238791183143,3220.325343647809,1883.1898729580248,3688.02019242783,1179,3835,0.0166666666666666
1850,17592592370800,2017-05-13 08:46:16,1321.0,81.0,1609,0.9999999744380348,6842.620441196005,1103.4866600401565,3746.6246356805914,7131.324870194123,1392.1910890382692,3681.926688697545,6089.926759992824,350.79297883697274,1755.976243332044,835.7917176349366,2011.973192816442,1321,81,0.0166666666666666
1851,17592591861439,2017-05-13 08:21:42,716.0,822.0,753,0.9950975730518712,8725.457176829941,1011.7520794519136,5321.279209983985,8926.213923478213,1212.50882610019,4643.669612844732,7836.000685962846,122.29558858481862,1914.8363126802888,1328.9248512422366,2603.7857127017232,716,822,0.0166666666666666
1852,17592592120872,2017-05-13 08:36:03,1351.0,1555.0,1726,0.9995304708771758,5513.619596440632,880.2709231186972,3699.35143087764,5499.9538644465765,866.6051911246434,3601.27920874683,4947.522340957936,314.1736676360007,1346.8680887772164,704.5640631790999,1498.1567317731538,1351,1555,0.0166666666666666
1853,17592592322552,2017-05-13 08:47:21,1351.0,2431.0,1727,0.9959381370656422,4685.257877068858,790.1972079721005,3223.43852626025,4680.582843109373,785.5221740126166,3074.819682853224,4172.949080511507,277.8884114147509,1218.0754398095726,562.4243402303181,1037.3243702803502,1351,2431,0.0166666666666666
1854,17592592469866,2017-05-13 08:46:41,1351.0,1286.0,1724,0.9999902296570214,6275.766600499143,1258.3775389252128,3374.3163108557515,6271.241131738588,1253.852070164657,3264.255176001033,5450.545178118033,433.15611654410185,1225.950196980186,464.5827161956996,1478.4270738756763,1351,1286,0.0166666666666666
1855,17592591615244,2017-05-13 08:16:47,1748.0,837.0,2147,0.9999988760206652,3250.18487788571,530.760037264798,2460.206668907505,3657.416455084565,937.9916144636478,2355.6315944454186,2853.0514478354844,133.62660721457178,1462.8629393777692,550.6872433542297,331.0984301885686,1748,837,0.0166666666666666
1856,17592592239815,2017-05-13 08:44:57,1095.0,1735.0,1412,0.999999548121528,6009.502595547788,883.7715140281057,4269.292214678501,6193.193085401393,1067.4620038817138,4225.85035377693,5447.678706610472,321.94762509078987,2045.1533964417704,1224.5272535003096,2565.290321597536,1095,1735,0.0166666666666666
1857,17592591369125,2017-05-13 08:04:03,7.0,2233.0,8,0.9999760690633755,4230.619538559608,1004.713388383078,2773.5004628005536,4638.670205607347,1412.764055430814,2827.5922915229958,3611.328021885378,385.4218717088494,1534.0125865184496,611.6531682033398,319.3533441173648,7,2233,0.0166666666666666
1858,17592591438866,2017-05-13 08:09:11,818.0,1757.0,839,0.9999999999966374,5590.208847467905,863.9523541267245,3591.357417722867,5934.609999338946,1208.3535059977512,3895.095267046462,5303.436435491321,577.1799421501437,2666.954203708807,1184.8185838311158,1958.755051019228,818,1757,0.0166666666666666
1859,17592591519466,2017-05-13 08:11:24,1763.0,1066.0,2203,0.9999999898212132,10841.23745053036,1423.1036264904153,4457.761505999033,11068.490239557676,1650.356415517733,4334.862722312704,10534.056346260491,1115.9225222205516,3650.912812360605,1847.14881986676,2591.119216473509,1763,1066,0.0166666666666666
1860,17592592145166,2017-05-13 08:32:42,1352.0,1179.0,1734,0.9985903031608312,6557.557330092815,1344.1921176980604,3799.6121980850967,6545.656111939256,1332.2908995445064,3484.3785781819715,5787.771051790776,574.4058393960235,1786.3680793937033,621.2429004475204,1525.5762093417454,1352,1179,0.0333333333333333
1861,17592591944603,2017-05-13 08:25:21,1352.0,1179.0,1734,0.9985903031608312,6557.557330092815,1344.1921176980604,3799.6121980850967,6545.656111939256,1332.2908995445064,3484.3785781819715,5787.771051790776,574.4058393960235,1786.3680793937033,621.2429004475204,1525.5762093417454,1352,1179,0.0333333333333333
1862,17592591461961,2017-05-13 08:10:45,3369.0,3278.0,3290,0.9999816295383664,5977.131429516937,706.2577452780802,3905.971170911425,6079.656054910193,808.7823706713345,3812.252077147817,5506.021640752104,235.1479565132476,1685.36234471677,946.4090598626332,1967.018609310015,3369,3278,0.0333333333333333
1863,17592591490585,2017-05-13 08:12:04,3369.0,3278.0,3290,0.9999816295383664,5977.131429516937,706.2577452780802,3905.971170911425,6079.656054910193,808.7823706713345,3812.252077147817,5506.021640752104,235.1479565132476,1685.36234471677,946.4090598626332,1967.018609310015,3369,3278,0.0333333333333333
1864,17592591552891,2017-05-13 08:08:13,764.0,1773.0,781,0.999928462611188,1584.5401424849813,448.048508053398,1164.4812326029612,2360.402808734429,1223.9111743028473,1230.4648125472895,1160.8483739183216,24.356739486738448,738.5207351966332,-401.6310713880763,-1030.806458594253,764,1773,0.0166666666666666
1865,17592591727448,2017-05-13 08:19:00,2232.0,1507.0,2610,0.9945332389241572,10125.81235283144,1328.6919813158124,4134.963731926833,10464.076658961669,1666.9562874460307,4061.426339161621,9299.39168570188,502.2713141862524,2121.4456271119952,1223.0490311761891,2316.612281354961,2232,1507,0.0166666666666666
1866,17592592046292,2017-05-13 08:26:08,1218.0,1773.0,1506,0.9999731213842272,9028.534870648802,1201.8686599192104,4542.83565586226,9051.631882946536,1224.9656722169464,4329.230159633162,8278.092202824395,451.4259920948006,1890.6478400671865,815.3177157376961,2902.4423864804457,1218,1773,0.0333333333333333
1867,17592591886911,2017-05-13 08:25:10,1218.0,1773.0,1506,0.9999731213842272,9028.534870648802,1201.8686599192104,4542.83565586226,9051.631882946536,1224.9656722169464,4329.230159633162,8278.092202824395,451.4259920948006,1890.6478400671865,815.3177157376961,2902.4423864804457,1218,1773,0.0333333333333333
1868,17592592541591,2017-05-13 08:56:46,55.0,77.0,71,0.9999995558235264,2469.0098180618006,438.9988422851485,1972.900606384859,3093.7330249328074,1063.722049156152,1898.719386074527,2121.081829135006,91.0708533583538,1351.857150477092,235.09743271794812,-69.01478330308382,55,77,0.0166666666666666
1869,17592591385429,2017-05-13 08:04:51,1782.0,761.0,2260,0.999513456494776,5881.669875023626,1047.5274932963216,3414.39830279183,6256.315752801726,1422.1733710744152,3542.86512707777,5195.497464580238,361.35508285293184,1705.0312498240123,801.7482128377462,1319.4018676511505,1782,761,0.0166666666666666
1870,17592591652934,2017-05-13 08:08:49,1296.0,2358.0,1561,0.998896143889944,3166.5610978426444,669.4779829615042,2066.8357184972037,3316.282967527657,819.1998526465113,1886.216065435125,2704.954581243456,207.8714663623148,1003.98197809908,243.6918499579262,-234.2301599161411,1296,2358,0.0333333333333333
1871,17592591604500,2017-05-13 08:15:20,1296.0,2358.0,1561,0.998896143889944,3166.5610978426444,669.4779829615042,2066.8357184972037,3316.282967527657,819.1998526465113,1886.216065435125,2704.954581243456,207.8714663623148,1003.98197809908,243.6918499579262,-234.2301599161411,1296,2358,0.0333333333333333
1872,17592592023237,2017-05-13 08:36:20,1232.0,2244.0,1532,0.9999879439549958,9826.384441239972,1575.5219617243674,3802.988748960567,9960.165028128666,1709.3025486130668,3680.559667088981,8650.68423650203,399.82175698642607,1271.4095632524222,488.0632271542518,1809.3295970856047,1232,2244,0.0166666666666666
