OD_id,matching_prob,ride_distance,detour_distance,shared_distance,saved_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,saved_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker,saved_distance_for_seeker
245,0.9356315516485284,20983.732171912707,1317.6842113568848,6439.801458000524,4576.746470330832,20904.72641354685,1238.6784529910342,6181.54683538917,4761.659212129313,20238.08356577949,572.0356052236635,2718.6890333634565,1710.3653317615847
246,0.9999948364773432,6622.857720009711,864.0844569825944,4709.6520786143,2817.8235906219834,7056.300505616806,1297.5272425896874,4679.298816152289,2796.805330162036,6069.576720500003,310.8034574728856,2714.3435864102285,1625.2326393771407
247,0.99991913282371,9721.526408397289,1355.4656550957002,5363.663628527993,3100.04399281252,9993.917792498629,1627.8570391970381,5363.527283570407,3146.9504177825083,8828.677015471585,462.6162621699969,2421.868394814822,1374.000057486141
248,0.9969190014273034,9015.79279324214,1568.2825276959848,4828.532749616637,2394.2460602304404,9105.855009804349,1658.3447442581905,4448.626580364789,2256.4825954988432,7800.721559064657,353.21129351850243,1569.018581580041,740.9184866328036
249,0.9563284080908722,7462.258450813022,1505.8523114593474,3291.95744600511,1096.4638224667096,7539.413653296002,1583.00751394233,2889.6055994799235,864.4961503739415,6703.4142037229885,747.0080643693133,1906.7709789720977,682.0514305071824
250,0.9927431696505143,16969.480133759167,1511.6660988951821,4631.5059687355015,2619.6616307518225,17122.767736377504,1664.953701513505,4474.697818662563,2808.535870339978,16227.177688309368,769.363653445376,2636.508071543111,1367.5048633944377
251,0.940243971873408,19309.02854780427,1201.6010711892252,7605.909772792074,5962.365444303905,19678.888160489736,1571.4606838746702,7212.7804136152035,5609.175237353795,18514.909085563624,407.4816089485758,3961.014700268066,3127.8336810795895
252,0.7268225983745196,9557.398291019757,309.8642197039349,1841.8904960963507,1270.4507468538804,9580.212855633443,332.67878431762085,1371.6620870564682,805.4625259239594,9247.534071315822,-5.541204870468514e-14,564.2947420568253,520.2255180100088
253,0.41667192113341567,4613.340790277465,582.4888601947868,891.3869011218313,45.95264672619718,4402.189974284929,371.33804420225187,517.013833432781,19.956623015693804,4308.573896675586,277.7219665929083,467.0600581693037,29.573721651759907
254,0.9997528555257725,4560.157002192498,901.8438872299067,3132.758675957061,1053.9169807013839,4921.250537534987,1262.937422572397,3090.117738626941,907.3861528568963,4003.40225910766,345.08914414506955,1770.507722804616,653.9038562319332
255,0.9998973776113752,6064.015731386109,929.9657976881207,3939.2968354397744,1962.5929634255392,6447.69592039345,1313.6459866954588,4080.7049981028017,2088.756515301062,5507.864282928969,373.81434923097606,2211.6700483095533,1078.2870140112611
256,0.9991985712093094,15041.301996998776,1325.336518691047,4618.776751801133,2717.174839818579,15452.25013595502,1736.2846576473005,4947.433004934647,3167.5502865619746,14358.501388121578,642.5359098138513,2673.1797246835154,1471.5235263730676
257,0.9450319719599394,2613.540191152708,561.1761182888212,1527.2968059008713,-430.5354009017637,2739.5421270130796,687.1780541491936,1332.6287751560856,-757.1827498004226,2198.6479821070716,146.28390924318552,722.7057788389853,26.623004869647882
258,0.8393876547957052,4635.054266864007,735.5946552055817,2221.6891552398333,806.7838815238804,4644.726848817012,745.2672371585865,1783.872492849139,417.1249065316517,4198.842489993118,299.38287833469224,1177.5721579817841,562.636832541829
259,0.998983958201727,3669.260691204015,745.1327292425791,2739.890808949608,839.1123427069999,4371.056863843483,1446.9289018820414,2881.1528690037203,646.1179443752399,3198.49967020037,274.3717082389345,1802.5023411986565,628.8966625949853
260,0.9994568101113995,3855.757057325878,623.9322773141083,2770.8786664793274,1102.0259189221397,4121.2210803107255,889.396300298956,2595.8268700111603,794.490011326811,3548.9285873693525,317.1038073575825,1875.357078937486,827.9387043821102
261,0.9611203884599038,2413.9251103118904,557.6205157864409,1685.9079348003597,-348.15224712826836,2812.8163742217594,956.5117796963103,1593.3318019455096,-800.84015780943,1951.1468466643378,94.842252138888,915.0242505943174,39.30917839432004
262,0.9999817281781824,5102.253238466853,1014.443768712214,3614.916234020263,1646.6400113424559,5354.354726964528,1266.5452572098854,3648.060994094389,1627.9600828257444,4521.1036540764535,433.2941843218132,1941.0170042215939,899.6565773493328
263,0.9735197922832982,1590.1143847054168,353.5953507741061,1139.1801480729807,-749.0157092242891,2001.6842294057387,765.1651954744282,1042.544846373864,-850.8543012170447,1253.581314628479,17.062280697168493,680.650643701645,-374.7950678904936
264,0.9991245867888886,8949.283945808062,1098.4808999921852,4502.5640576842425,2844.7216321861024,9175.304275419361,1324.5012296034913,4651.430649030904,3176.768527132906,8284.63264710111,433.8296012852329,2168.41792582356,1250.5794146795574
265,0.9999839011138104,7394.895752431989,1159.941574942001,4051.813831942497,2166.319620648132,7744.424354006827,1509.470176516841,4312.022693954909,2332.5133082445786,6667.533598182069,432.57942069208116,1973.9972810471686,1042.3610747321677
