,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.product_id,dwv_order_make_haikou_1.city_id,dwv_order_make_haikou_1.district,dwv_order_make_haikou_1.county,dwv_order_make_haikou_1.type,dwv_order_make_haikou_1.combo_type,dwv_order_make_haikou_1.traffic_type,dwv_order_make_haikou_1.passenger_count,dwv_order_make_haikou_1.driver_product_id,dwv_order_make_haikou_1.start_dest_distance,dwv_order_make_haikou_1.arrive_time,dwv_order_make_haikou_1.departure_time,dwv_order_make_haikou_1.pre_total_fee,dwv_order_make_haikou_1.normal_time,dwv_order_make_haikou_1.bubble_trace_id,dwv_order_make_haikou_1.product_1level,dwv_order_make_haikou_1.dest_lng,dwv_order_make_haikou_1.dest_lat,dwv_order_make_haikou_1.starting_lng,dwv_order_make_haikou_1.starting_lat,dwv_order_make_haikou_1.year,dwv_order_make_haikou_1.month,dwv_order_make_haikou_1.day,O_location,D_location
439416,17592368163994,3,83,898,460108,0,0,0,0,3,1684,2017-05-01 08:46:23,2017-05-01 08:41:10,9,6.0,6446a132590684267cf0a04325b2b702,3,110.3495,20.0218,110.337,20.0212,2017,5,1,630.0,2648.0
439641,17592368155141,3,83,898,460106,0,0,6,0,3,21698,2017-05-01 08:51:13,2017-05-01 08:48:10,61,28.0,6446aa14590685ca6f4e281a0e975e02,3,110.4634,19.9369,110.3296,20.0212,2017,5,1,2138.0,3694.0
439722,17592367875649,3,83,898,460105,0,0,0,0,3,6061,2017-05-01 08:39:08,2017-05-01 08:32:16,16,9.0,f8fe362c5906820000003718747b7caf,3,110.2867,20.0202,110.2767,20.0019,2017,5,1,830.0,763.0
439795,17592368272795,3,83,898,460105,0,0,0,0,3,17988,2017-05-01 08:53:43,2017-05-01 08:50:18,52,25.0,64469f345906864a5f397a6596115102,3,110.1827,20.0549,110.2962,19.9812,2017,5,1,2120.0,2093.0
439866,17592367584828,3,83,898,460108,0,0,0,0,3,3276,2017-05-01 08:06:07,2017-05-01 08:02:07,10,6.0,6446aa1459067aff6f7f2812cb5d9802,3,110.354,20.0438,110.3425,20.0569,2017,5,1,495.0,535.0
439938,17592368054204,3,83,898,460105,0,0,0,0,3,5017,2017-05-01 08:28:44,2017-05-01 08:28:32,13,10.0,321c23055906812d00005f53304942bd,3,110.3248,20.0226,110.2909,20.0131,2017,5,1,1763.0,153.0
439999,17592367720106,3,83,898,460106,0,0,0,0,3,7333,2017-05-01 08:17:32,2017-05-01 08:12:30,20,17.0,6445ae3a59067d6e413aa3b7daa3a702,3,110.34700000000001,19.9902,110.3023,20.0027,2017,5,1,60.0,2192.0
440000,17592367899708,3,83,898,460108,0,0,0,0,3,2228,2017-05-01 08:30:17,2017-05-01 08:28:01,9,8.0,6446a2315906811098aca9acffefbe02,3,110.3457,20.0153,110.3476,20.0302,2017,5,1,477.0,3384.0
440064,17592367607217,3,83,898,460105,0,0,0,0,3,7974,2017-05-01 08:15:08,2017-05-01 08:11:52,21,17.0,c0a8016459067d4500001cb59f0dd623,3,110.359,20.0487,110.2915,20.0204,2017,5,1,1770.0,591.0
440065,17592367856560,3,83,898,460108,0,0,6,0,3,23975,2017-05-01 08:21:51,2017-05-01 08:17:52,68,29.0,64469f3359067eb09e382867f2fb4502,3,110.4634,19.9369,110.3456,20.0633,2017,5,1,2359.0,3694.0
440119,17592367616468,3,83,898,460106,0,0,0,0,3,9056,2017-05-01 08:13:51,2017-05-01 08:10:21,23,7.0,6446a23159067cec9a19a9d7c7c5fb02,3,110.3159,20.0337,110.3393,20.0064,2017,5,1,3446.0,776.0
440120,17592367838448,3,83,898,460106,0,0,0,0,3,6692,2017-05-01 08:34:24,2017-05-01 08:28:38,18,17.0,847cd31d81d06a06f106484910760303,3,110.3433,19.9841,110.3171,20.0169,2017,5,1,810.0,1085.0
440121,17592367868598,3,83,898,460108,0,0,6,0,3,26124,2017-05-01 08:27:13,2017-05-01 08:20:46,74,36.0,f2865ee659067ec600003d036ef3b01a,3,110.4634,19.9369,110.3376,20.0764,2017,5,1,2631.0,3694.0
440177,17592368112863,3,83,898,460105,0,0,0,0,3,14465,2017-05-01 08:43:00,2017-05-01 08:41:02,41,22.0,1673ae7624ba847d8f4d9bc2105b0303,3,110.1883,20.0584,110.2795,19.9936,2017,5,1,2679.0,2689.0
440178,17592368209847,3,83,898,460105,0,0,0,0,3,7918,2017-05-01 08:54:48,2017-05-01 08:50:31,20,22.0,6445623d590686563c101675250aa102,3,110.3205,20.0237,110.2816,19.9935,2017,5,1,2679.0,38.0
440310,17592367772962,3,83,898,460108,0,0,0,0,3,20340,2017-05-01 08:25:34,2017-05-01 08:13:05,60,30.0,8c961b56ffd588db8a051bc010310303,3,110.1853,20.0495,110.3417,20.0554,2017,5,1,495.0,2064.0
440311,17592368255264,3,83,898,460108,0,0,0,0,3,7073,2017-05-01 08:51:31,2017-05-01 08:46:42,18,16.0,6446aa1459068572a8772825e756ee02,3,110.3442,20.0378,110.325,20.0572,2017,5,1,3272.0,194.0
440387,17592367660964,3,83,898,460105,0,0,0,0,3,8132,2017-05-01 08:00:44,2017-05-01 07:56:46,20,19.0,bc86daca5906799b00005ef9794e2265,3,110.3411,20.0437,110.2833,20.0136,2017,5,1,813.0,411.0
440388,17592367701324,3,83,898,460105,0,0,0,0,3,4684,2017-05-01 08:12:28,2017-05-01 08:07:45,13,7.0,64469e3b59067c518d575400c9c9a902,3,110.2377,20.0367,110.2777,20.0207,2017,5,1,741.0,2386.0
440389,17592367756819,3,83,898,460106,0,0,0,0,3,8317,2017-05-01 08:11:18,2017-05-01 08:09:02,21,20.0,6446aa1459067c9da96b282ed7d36a02,3,110.3077,20.0074,110.3377,20.0432,2017,5,1,189.0,3218.0
440390,17592367770825,3,83,898,460105,0,0,0,0,3,3651,2017-05-01 08:21:30,2017-05-01 08:20:34,11,51.0,bc0e22bf59067f5000005324ff5b33c4,3,110.3179,20.029,110.2937,20.0221,2017,5,1,893.0,2363.0
440461,17592367847630,3,83,898,460107,0,0,0,0,3,4307,2017-05-01 08:21:01,2017-05-01 08:15:42,13,14.0,64469f3559067e2e52b8448916280e02,3,110.3373,20.0008,110.36200000000001,19.9897,2017,5,1,1069.0,3619.0
440550,17592367672121,3,83,898,460108,1,0,6,0,3,20638,2017-05-01 08:43:37,2017-05-01 09:00:00,56,30.0,4e4813139e20b7e72f06de2910580403,3,110.4634,19.9369,110.3569,20.0383,2017,5,1,1363.0,3694.0
440551,17592367924371,3,83,898,460108,0,0,0,0,3,5380,2017-05-01 08:36:12,2017-05-01 08:33:27,15,9.0,6446a1335906825795e4774cf6e81b02,3,110.3319,20.0221,110.3208,20.0655,2017,5,1,1569.0,627.0
440634,17592367514794,3,83,898,460106,0,0,0,0,3,9473,2017-05-01 08:06:22,2017-05-01 07:58:31,24,29.0,a2703c94590679610000726700f5b981,3,110.3406,19.9596,110.3114,20.0167,2017,5,1,3303.0,1817.0
440635,17592367571298,3,83,898,460106,0,0,0,0,3,5706,2017-05-01 08:10:07,2017-05-01 07:58:20,16,14.0,6446a13559067a1c7a062ad4e843d202,3,110.2811,20.0061,110.3169,20.0041,2017,5,1,3294.0,1748.0
440636,17592367829722,3,83,898,460108,0,0,0,0,3,5713,2017-05-01 08:30:41,2017-05-01 08:26:39,15,8.0,3686a0a4590680bc00006fb93126b8ff,3,110.3209,20.0166,110.3558,20.0245,2017,5,1,2209.0,3379.0
440637,17592367834647,3,83,898,460107,0,0,0,0,3,3382,2017-05-01 08:29:07,2017-05-01 08:27:47,10,9.0,6446a231590680ff4432a9cc892fa402,3,110.3596,20.004,110.3811,19.9861,2017,5,1,3191.0,1048.0
440779,17592367586760,3,83,898,460107,0,0,0,0,3,6808,2017-05-01 08:08:18,2017-05-01 08:02:38,18,16.0,c0a80164f52f2790ba66d2a210380303,3,110.3604,20.0416,110.3632,19.9931,2017,5,1,1044.0,1350.0
440845,17592367617075,3,83,898,460107,0,0,0,0,3,8332,2017-05-01 08:11:56,2017-05-01 08:10:30,22,26.0,6446a13359067cf61e697751a5638402,3,110.3474,20.07,110.3721,20.0122,2017,5,1,544.0,1550.0
440847,17592368140746,3,83,898,460106,0,0,0,0,3,5152,2017-05-01 08:49:00,2017-05-01 08:46:42,14,14.0,27d40e77b2df4945dc0ca9a0103a0303,3,110.3487,20.0159,110.3121,20.0252,2017,5,1,3279.0,3384.0
440848,17592368186031,3,83,898,460106,0,0,0,0,3,4773,2017-05-01 08:53:09,2017-05-01 08:45:39,13,11.0,64469e3e59068532b0415ef792611202,3,110.3191,20.016,110.32700000000001,20.0355,2017,5,1,1298.0,3373.0
440910,17592367690879,3,83,898,460108,0,0,0,0,3,1471,2017-05-01 08:10:52,2017-05-01 08:05:02,9,4.0,6445533359067bae456975c5ca536802,3,110.3453,20.0444,110.3442,20.0493,2017,5,1,1580.0,1580.0
440912,17592367918793,3,83,898,460105,0,0,0,0,3,1803,2017-05-01 08:40:17,2017-05-01 08:35:20,9,4.0,64469e3b590682c8c20a5429e217de02,3,110.2811,20.0061,110.2768,20.0019,2017,5,1,830.0,1748.0
440991,17592368047013,3,83,898,460107,0,0,0,0,3,7450,2017-05-01 08:48:09,2017-05-01 08:46:37,20,19.0,885c07a75906856d00000d6088b37320,3,110.3088,20.0018,110.3581,19.9963,2017,5,1,1070.0,1738.0
441053,17592367442606,3,83,898,460106,0,0,0,0,3,4692,2017-05-01 08:01:24,2017-05-01 07:56:08,13,13.0,6446a1325906799705dfa02d0bb6e302,3,110.3235,20.0018,110.3239,20.0243,2017,5,1,166.0,2390.0
441054,17592368208557,3,83,898,460108,0,0,0,0,3,3834,2017-05-01 08:55:06,2017-05-01 08:51:50,11,27.0,6445b03a590686a65e1a22810f26e902,3,110.3551,20.0307,110.354,20.0548,2017,5,1,1227.0,132.0
