,vehicle_id,vehicle_type,depart_time,depart_timestamp,arrival_time,arrival_timestamp,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
396,34,pickup_p2,2017-05-01 00:54:59.900000000,1493600099.9,2017-05-01 00:55:00.000000000,1493600100.0,487.0,487.0,17592368196777,17592368196777.0,110.3368436,20.036208,110.3368436,20.036208
397,64,pickup_p1,2017-05-01 00:36:19.900000000,1493598979.9,2017-05-01 00:38:37.539518208,1493599117.539518,3269.0,487.0,17592367923110,,110.3418024,20.0320787,110.3368436,20.036208
398,72,pickup_p2,2017-05-01 00:31:49.900000000,1493598709.9,2017-05-01 00:33:12.597856256,1493598792.5978563,2220.0,487.0,17592367801490,17592367960860.0,110.3374218,20.031768,110.3368436,20.036208
399,9,pickup_p1,2017-05-01 00:37:49.900000000,1493599069.9,2017-05-01 00:41:56.075494656,1493599316.0754948,1311.0,487.0,17592367859635,,110.3491566,20.0418032,110.3368436,20.036208
400,14,pickup_p2,2017-05-01 00:49:09.900000000,1493599749.9,2017-05-01 00:52:12.864069632,1493599932.8640697,178.0,487.0,17592368115484,17592368042373.0,110.3282799,20.0430948,110.3368436,20.036208
401,34,pickup_p1,2017-05-01 00:54:49.900000000,1493600089.9,2017-05-01 00:56:12.470933248,1493600172.4709332,1284.0,487.0,17592368196777,,110.3325445,20.040112,110.3368436,20.036208
402,34,delivery_p2,2017-05-01 00:55:00.000000000,1493600100.0,2017-05-01 01:19:25.327516928,1493601565.327517,487.0,3025.0,17592368196777,17592368196777.0,110.3368436,20.036208,110.39479,19.9634173
403,34,delivery_p1,2017-05-01 01:19:25.327516928,1493601565.327517,2017-05-01 01:19:25.327516928,1493601565.327517,3025.0,3025.0,17592368196777,17592368196777.0,110.39479,19.9634173,110.39479,19.9634173
404,49,pickup_p1,2017-05-01 00:25:29.900000000,1493598329.9,2017-05-01 00:30:20.420069120,1493598620.4200692,1085.0,2245.0,17592367767705,,110.3443467,19.9804333,110.3269156,19.9853225
405,129,pickup_p1,2017-05-01 00:39:39.900000000,1493599179.9,2017-05-01 00:44:30.420069120,1493599470.4200692,1085.0,2245.0,17592367917274,,110.3443467,19.9804333,110.3269156,19.9853225
406,49,pickup_p2,2017-05-01 00:28:49.900000000,1493598529.9,2017-05-01 00:28:50.000000000,1493598530.0,2245.0,2245.0,17592367767705,17592367817354.0,110.3269156,19.9853225,110.3269156,19.9853225
407,54,pickup_p1,2017-05-01 00:26:59.900000000,1493598419.9,2017-05-01 00:29:52.069891584,1493598592.0698917,1085.0,990.0,17592367717357,,110.3443467,19.9804333,110.3461227,19.9802181
408,82,delivery_p1,2017-05-01 00:43:11.478082048,1493599391.478082,2017-05-01 00:55:56.921765120,1493600156.921765,1085.0,3628.0,17592367790339,17592367946204.0,110.3443467,19.9804333,110.295395,19.9622745
409,127,"failed_ridepooling,delivery_p1",2017-05-01 00:23:50.000000000,1493598230.0,2017-05-01 00:38:28.530480384,1493599108.5304804,865.0,3628.0,17592367605641,,110.2944045,19.9974953,110.295395,19.9622745
410,3,delivery_p2,2017-05-01 01:14:08.574348288,1493601248.5743482,2017-05-01 01:34:41.783833088,1493602481.783833,2400.0,3628.0,17592368204329,17592368299170.0,110.3620642,20.0102822,110.295395,19.9622745
411,8,pickup_p2,2017-05-01 00:35:59.900000000,1493598959.9,2017-05-01 00:37:28.711561472,1493599048.7115614,1085.0,1133.0,17592367948960,17592368048043.0,110.3443467,19.9804333,110.337474,19.9805445
412,44,"failed_ridepooling,delivery_p1",2017-05-01 00:38:40.000000000,1493599120.0,2017-05-01 00:55:28.793107200,1493600128.7931073,1085.0,892.0,17592367829815,,110.3443467,19.9804333,110.2973224,20.017214
413,104,pickup_p2,2017-05-01 00:39:29.900000000,1493599169.9,2017-05-01 00:41:31.066268928,1493599291.066269,1085.0,2692.0,17592367996844,17592367930927.0,110.3443467,19.9804333,110.3380385,19.9842786
414,29,pickup_p2,2017-05-01 00:48:59.900000000,1493599739.9,2017-05-01 00:52:32.662144512,1493599952.6621444,2243.0,2692.0,17592367992741,17592368040570.0,110.3274836,19.9771667,110.3380385,19.9842786
415,112,pickup_p1,2017-05-01 00:50:39.900000000,1493599839.9,2017-05-01 00:52:11.995537152,1493599931.995537,1078.0,2692.0,17592368040570,,110.3409699,19.9883926,110.3380385,19.9842786
416,41,"failed_ridepooling,delivery_p1",2017-05-01 00:40:10.000000000,1493599210.0,2017-05-01 00:53:21.831659008,1493600001.831659,1321.0,2692.0,17592367905980,,110.3521833,20.0311926,110.3380385,19.9842786
417,80,delivery_p1,2017-05-01 00:51:10.689392128,1493599870.689392,2017-05-01 01:08:21.249690880,1493600901.2496908,1085.0,2697.0,17592367794628,17592368104163.0,110.3443467,19.9804333,110.3493853,19.9186334
418,64,delivery_p1,2017-05-01 00:47:51.469675264,1493599671.4696753,2017-05-01 01:14:55.972330496,1493601295.9723306,1332.0,2697.0,17592367923110,17592367935186.0,110.3368701,20.0273142,110.3493853,19.9186334
419,123,pickup_p2,2017-05-01 00:44:39.900000000,1493599479.9,2017-05-01 00:49:08.244280576,1493599748.2442806,1085.0,1077.0,17592367984808,17592368010477.0,110.3443467,19.9804333,110.3453365,19.988906
420,75,delivery_p2,2017-05-01 00:58:26.725724160,1493600306.7257242,2017-05-01 01:01:54.927973632,1493600514.9279735,1070.0,1077.0,17592368260459,17592368134918.0,110.3565181,19.9942564,110.3453365,19.988906
421,129,delivery_p2,2017-05-01 00:51:20.420069120,1493599880.4200692,2017-05-01 01:01:49.835619328,1493600509.8356192,1085.0,3307.0,17592367917274,17592368030885.0,110.3443467,19.9804333,110.3228845,20.010913
422,49,delivery_p1,2017-05-01 01:00:37.694196992,1493600437.694197,2017-05-01 01:09:54.587192320,1493600994.5871923,1085.0,2126.0,17592368160282,17592368112916.0,110.3443467,19.9804333,110.3755426,19.9891469
423,54,pickup_p1,2017-05-01 00:53:59.900000000,1493600039.9,2017-05-01 00:58:01.239858944,1493600281.2398589,1085.0,2244.0,17592368251626,,110.3443467,19.9804333,110.3275183,19.9816809
424,27,pickup_p1,2017-05-01 00:53:29.900000000,1493600009.9,2017-05-01 00:56:22.030277376,1493600182.0302775,11.0,2244.0,17592368205473,,110.3380844,19.9816536,110.3275183,19.9816809
425,18,pickup_p1,2017-05-01 00:09:59.900000000,1493597399.9,2017-05-01 00:10:00.000000000,1493597400.0,1016.0,1016.0,17592367608370,,110.379938,20.0217772,110.379938,20.0217772
426,18,pickup_p2,2017-05-01 00:10:09.900000000,1493597409.9,2017-05-01 00:10:10.000000000,1493597410.0,1016.0,1016.0,17592367608370,17592367608370.0,110.379938,20.0217772,110.379938,20.0217772
427,31,pickup_p1,2017-05-01 00:22:19.900000000,1493598139.9,2017-05-01 00:25:06.151150592,1493598306.1511505,3664.0,1016.0,17592367859294,,110.3732897,20.0120743,110.379938,20.0217772
428,18,delivery_p2,2017-05-01 00:10:10.000000000,1493597410.0,2017-05-01 00:17:08.200793344,1493597828.2007933,1016.0,132.0,17592367608370,17592367608370.0,110.379938,20.0217772,110.3544401,20.0292385
429,18,delivery_p1,2017-05-01 00:17:08.200793344,1493597828.2007933,2017-05-01 00:17:08.200793344,1493597828.2007933,132.0,132.0,17592367608370,17592367608370.0,110.3544401,20.0292385,110.3544401,20.0292385
430,31,pickup_p2,2017-05-01 00:22:29.900000000,1493598149.9,2017-05-01 00:25:35.030066432,1493598335.0300665,1016.0,1364.0,17592367859294,17592367642389.0,110.379938,20.0217772,110.3693147,20.0235072
431,87,delivery_p2,2017-05-01 00:37:16.886157312,1493599036.8861573,2017-05-01 00:54:45.568059648,1493600085.5680597,1070.0,1773.0,17592367822341,17592367828780.0,110.3565181,19.9942564,110.298201,20.0221929
432,108,pickup_p1,2017-05-01 00:23:19.900000000,1493598199.9,2017-05-01 00:23:20.000000000,1493598200.0,1773.0,1773.0,17592367859852,,110.298201,20.0221929,110.298201,20.0221929
433,104,delivery_p1,2017-05-01 00:57:53.868689664,1493600273.8686895,2017-05-01 00:57:53.868689664,1493600273.8686895,1773.0,1773.0,17592367996844,17592367930927.0,110.298201,20.0221929,110.298201,20.0221929
434,107,pickup_p1,2017-05-01 00:39:29.900000000,1493599169.9,2017-05-01 00:41:24.055725056,1493599284.055725,892.0,1773.0,17592368099096,,110.2973224,20.017214,110.298201,20.0221929
435,104,delivery_p2,2017-05-01 00:41:31.066268928,1493599291.066269,2017-05-01 00:57:53.868689664,1493600273.8686895,2692.0,1773.0,17592367996844,17592367930927.0,110.3380385,19.9842786,110.298201,20.0221929
436,131,pickup_p1,2017-05-01 00:10:09.900000000,1493597409.9,2017-05-01 00:12:49.335886592,1493597569.3358865,1557.0,493.0,17592367591768,,110.3391732,20.0516407,110.3480568,20.0565399
437,28,"failed_ridepooling,delivery_p1",2017-05-01 00:13:30.000000000,1493597610.0,2017-05-01 00:20:24.778036992,1493598024.778037,1570.0,493.0,17592367439648,,110.3625338,20.0699965,110.3480568,20.0565399
438,18,pickup_p1,2017-05-01 00:59:09.900000000,1493600349.9,2017-05-01 01:02:54.118347776,1493600574.118348,132.0,1350.0,17592368125137,,110.3544401,20.0292385,110.358656,20.0403652
439,85,pickup_p1,2017-05-01 00:10:29.900000000,1493597429.9,2017-05-01 00:11:59.347766272,1493597519.3477664,539.0,1350.0,17592367703003,,110.3567038,20.0357216,110.358656,20.0403652
440,18,pickup_p2,2017-05-01 00:59:19.900000000,1493600359.9,2017-05-01 00:59:20.000000000,1493600360.0,1350.0,1350.0,17592368125137,17592368136445.0,110.358656,20.0403652,110.358656,20.0403652
441,89,pickup_p2,2017-05-01 00:29:59.900000000,1493598599.9,2017-05-01 00:31:16.628373504,1493598676.6283736,535.0,1350.0,17592367745149,17592367804398.0,110.355848,20.04367,110.358656,20.0403652
442,95,pickup_p1,2017-05-01 00:10:19.900000000,1493597419.9,2017-05-01 00:14:15.170991616,1493597655.1709917,1748.0,1453.0,17592367747964,,110.2806238,20.0035368,110.2620563,20.0054437
443,68,delivery_p2,2017-05-01 00:16:00.752105216,1493597760.7521052,2017-05-01 00:19:31.676080384,1493597971.6760805,1748.0,803.0,17592367552093,17592367706424.0,110.2806238,20.0035368,110.2900341,20.0125741
444,52,pickup_p2,2017-05-01 00:12:39.900000000,1493597559.9,2017-05-01 00:13:33.791575808,1493597613.791576,1731.0,803.0,17592367486477,17592367610328.0,110.2924575,20.0098553,110.2900341,20.0125741
445,35,pickup_p2,2017-05-01 00:42:19.900000000,1493599339.9,2017-05-01 00:42:20.000000000,1493599340.0,803.0,803.0,17592368164050,17592368164050.0,110.2900341,20.0125741,110.2900341,20.0125741
446,38,"failed_ridepooling,delivery_p1",2017-05-01 00:13:20.000000000,1493597600.0,2017-05-01 00:23:58.095454976,1493598238.095455,121.0,803.0,17592367575182,,110.3322513,20.0167634,110.2900341,20.0125741
447,35,pickup_p1,2017-05-01 00:42:09.900000000,1493599329.9,2017-05-01 00:43:54.432157440,1493599434.4321575,1770.0,803.0,17592368164050,,110.2901767,20.0202475,110.2900341,20.0125741
448,37,delivery_p1,2017-05-01 01:13:02.872854784,1493601182.8728547,2017-05-01 01:23:45.495439872,1493601825.4954398,2388.0,803.0,17592368189309,17592368445867.0,110.3342027,20.0284848,110.2900341,20.0125741
449,42,"failed_ridepooling,delivery_p1",2017-05-01 00:32:20.000000000,1493598740.0,2017-05-01 00:42:54.974603520,1493599374.9746034,2208.0,803.0,17592367642804,,110.333701,20.0242463,110.2900341,20.0125741
450,13,delivery_p1,2017-05-01 00:44:59.951782656,1493599499.9517827,2017-05-01 00:53:44.582113280,1493600024.5821133,39.0,803.0,17592367954458,17592367920520.0,110.3205839,20.0249388,110.2900341,20.0125741
