,vehicle_id,vehicle_type,depart_time,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
187,152,reposition,1493596940.0,2648.0,2390.0,,,110.3495632,20.0220871,110.3242171,20.0017526
188,153,reposition,1493596940.0,1139.0,2390.0,,,110.433372,19.968503,110.3242171,20.0017526
189,158,reposition,1493596940.0,1370.0,2390.0,,,110.3675838,20.0289556,110.3242171,20.0017526
190,159,reposition,1493596940.0,2692.0,2390.0,,,110.3380385,19.9842786,110.3242171,20.0017526
191,160,reposition,1493596940.0,1607.0,2390.0,,,110.4046998,20.0493791,110.3242171,20.0017526
192,162,reposition,1493596940.0,544.0,2390.0,,,110.3730519,20.0123614,110.3242171,20.0017526
193,163,reposition,1493596940.0,1028.0,2390.0,,,110.383456,19.9709643,110.3242171,20.0017526
194,167,reposition,1493596940.0,1230.0,2390.0,,,110.3396865,20.0578629,110.3242171,20.0017526
195,168,reposition,1493596940.0,3404.0,2390.0,,,110.3042334,20.0184176,110.3242171,20.0017526
196,169,reposition,1493596940.0,2358.0,2390.0,,,110.3466752,20.0534517,110.3242171,20.0017526
197,170,reposition,1493596940.0,78.0,2390.0,,,110.3150659,20.0242176,110.3242171,20.0017526
198,171,reposition,1493596940.0,260.0,2390.0,,,110.4920137,19.9370282,110.3242171,20.0017526
199,193,reposition,1493596940.0,260.0,2390.0,,,110.4920137,19.9370282,110.3242171,20.0017526
200,174,reposition,1493596940.0,1309.0,2390.0,,,110.3485243,20.0384661,110.3242171,20.0017526
201,184,reposition,1493596940.0,489.0,2390.0,,,110.3334693,20.0403701,110.3242171,20.0017526
202,186,reposition,1493596940.0,719.0,2390.0,,,110.200263,20.0141107,110.3242171,20.0017526
203,234,reposition,1493596940.0,719.0,2390.0,,,110.200263,20.0141107,110.3242171,20.0017526
204,194,reposition,1493596940.0,1596.0,2390.0,,,110.3733024,20.0022099,110.3242171,20.0017526
