,vehicle_id,vehicle_type,depart_time,depart_timestamp,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
93,94,pickup_p2,2017-05-01 00:49:15.000000000,1493599755.0,1066.0,3290.0,17592368003908,17592368014405.0,110.3524365,19.9897543,110.3622935,19.9877523
94,125,delivery_p1,2017-05-01 00:50:11.149228032,1493599811.149228,2223.0,3290.0,17592367845761,17592368050594.0,110.3438273,19.9961084,110.3622935,19.9877523
95,80,"failed_ridepooling,delivery_p1",2017-05-01 00:25:30.000000000,1493598330.0,993.0,3624.0,17592367715698,,110.3657146,19.9802057,110.339226,20.0030854
96,110,delivery_p2,2017-05-01 00:24:04.662320640,1493598244.6623206,3391.0,3624.0,17592367543316,17592367644317.0,110.3319369,20.0195574,110.339226,20.0030854
97,4,pickup_p1,2017-05-01 00:02:55.000000000,1493596975.0,2393.0,1370.0,17592367671334,,110.3676773,20.0289558,110.3675838,20.0289556
98,96,pickup_p2,2017-05-01 00:21:05.000000000,1493598065.0,2393.0,1370.0,17592367709776,17592367621202.0,110.3676773,20.0289558,110.3675838,20.0289556
99,4,pickup_p2,2017-05-01 00:03:05.000000000,1493596985.0,1370.0,1370.0,17592367671334,17592367671334.0,110.3675838,20.0289556,110.3675838,20.0289556
100,37,pickup_p2,2017-05-01 00:11:35.000000000,1493597495.0,604.0,1370.0,17592367692218,17592367755876.0,110.3766748,20.0297118,110.3675838,20.0289556
101,81,pickup_p1,2017-05-01 00:02:55.000000000,1493596975.0,1077.0,1078.0,17592367471561,,110.3453365,19.988906,110.3409699,19.9883926
102,55,delivery_p1,2017-05-01 00:36:49.050874368,1493599009.0508745,3621.0,1078.0,17592367775746,17592367944959.0,110.3366059,19.9994198,110.3409699,19.9883926
103,112,"failed_ridepooling,delivery_p1",2017-05-01 00:19:00.000000000,1493597940.0,2330.0,1078.0,17592367542850,,110.4728753,19.9839538,110.3409699,19.9883926
104,41,pickup_p2,2017-05-01 00:53:35.000000000,1493600015.0,1078.0,1078.0,17592368250772,17592368250772.0,110.3409699,19.9883926,110.3409699,19.9883926
