,Unnamed: 0,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.arrive_time,dwv_order_make_haikou_1.departure_time,dwv_order_make_haikou_1.dest_lng,dwv_order_make_haikou_1.dest_lat,dwv_order_make_haikou_1.starting_lng,dwv_order_make_haikou_1.starting_lat,dwv_order_make_haikou_1.year,dwv_order_make_haikou_1.month,dwv_order_make_haikou_1.day
21639,444090,17592367758911,2017-05-01 08:14:22,2017-05-01 08:09:34,110.461,19.9392,110.4321,19.9517,2017,5,1
21701,444152,17592368175667,2017-05-01 08:48:55,2017-05-01 08:43:33,110.3433,19.9841,110.2944,20.0085,2017,5,1
21766,444217,17592367498509,0000-00-00 00:00:00,2017-05-01 08:01:47,110.2958,20.0029,110.3441,19.9769,2017,5,1
21768,444219,17592367622616,2017-05-01 08:17:01,2017-05-01 08:11:54,110.3732,20.0116,110.3668,19.9847,2017,5,1
21769,444220,17592367634844,2017-05-01 08:19:35,2017-05-01 08:14:55,110.3061,20.0165,110.2961,19.9889,2017,5,1
21770,444221,17592367866794,2017-05-01 08:27:10,2017-05-01 08:20:21,110.3371,20.0391,110.3249,20.064,2017,5,1
21771,444222,17592368220953,2017-05-01 08:55:44,2017-05-01 08:52:41,110.3435,20.0321,110.3387,20.0232,2017,5,1
21772,444223,17592368267367,2017-05-01 08:56:00,2017-05-01 08:49:11,110.3205,20.0295,110.3164,19.9836,2017,5,1
21773,444224,17592368448987,2017-05-01 08:59:15,2017-05-01 08:55:13,110.3284,20.0444,110.3629,20.0602,2017,5,1
21849,444300,17592367559297,2017-05-01 08:09:20,2017-05-01 08:07:49,110.3264,20.061,110.2833,20.0194,2017,5,1
21850,444301,17592367881168,2017-05-01 08:27:27,2017-05-01 08:23:44,110.2857,20.0011,110.2768,20.0019,2017,5,1
21851,444302,17592368287795,2017-05-01 08:59:37,2017-05-01 08:53:22,110.341,20.0526,110.3392,20.077,2017,5,1
21908,444359,17592367704507,2017-05-01 08:11:13,2017-05-01 08:08:34,110.3432,20.0183,110.3897,19.9691,2017,5,1
21909,444360,17592367804398,2017-05-01 08:29:54,2017-05-01 08:20:44,110.3487,20.0159,110.3602,20.0429,2017,5,1
21910,444361,17592367966847,2017-05-01 08:32:21,2017-05-01 08:30:16,110.3458,20.0142,110.3765,20.0227,2017,5,1
21911,444362,17592367974919,2017-05-01 08:36:01,2017-05-01 08:32:03,110.3304,20.0157,110.3041,20.0257,2017,5,1
21912,444363,17592368042642,2017-05-01 08:51:10,2017-05-01 08:46:05,110.2906,20.0248,110.3272,20.0303,2017,5,1
21913,444364,17592368195890,2017-05-01 08:52:06,2017-05-01 08:47:38,110.3317,19.9956,110.3204,19.9939,2017,5,1
21987,444438,17592368470716,2017-05-01 09:01:03,2017-05-01 08:59:40,110.461,19.9392,110.3664,20.0057,2017,5,1
22061,444512,17592367608022,2017-05-01 08:17:18,2017-05-01 08:08:12,110.3492,20.0577,110.3285,20.067,2017,5,1
22062,444513,17592367905677,2017-05-01 08:40:27,2017-05-01 08:34:24,110.2853,20.0183,110.3289,20.0059,2017,5,1
22063,444514,17592368056907,2017-05-01 08:32:44,2017-05-01 08:29:09,110.3389,20.0595,110.3312,20.0279,2017,5,1
22122,444573,17592367941882,2017-05-01 08:40:01,2017-05-01 08:37:10,110.3393,20.0266,110.3233,20.0465,2017,5,1
22123,444574,17592368028776,2017-05-01 08:46:05,2017-05-01 08:43:16,110.3523,20.023,110.3565,20.0388,2017,5,1
22203,444654,17592368024009,2017-05-01 08:49:34,2017-05-01 08:43:08,110.3366,20.0697,110.3238,20.0262,2017,5,1
22271,444722,17592367593452,2017-05-01 08:06:44,2017-05-01 08:04:25,110.3405,20.0551,110.3317,20.0283,2017,5,1
22272,444723,17592367619686,2017-05-01 08:16:56,2017-05-01 08:11:09,110.187,20.0426,110.199,20.0112,2017,5,1
22333,444784,17592368166688,2017-05-01 08:46:32,2017-05-01 08:41:43,110.3221,20.021,110.3679,20.0237,2017,5,1
22334,444785,17592368222063,2017-05-01 08:56:09,2017-05-01 08:53:00,110.2016,20.0121,110.2846,19.9909,2017,5,1
22404,444855,17592367662181,2017-05-01 08:22:26,2017-05-01 08:18:40,110.317,20.0281,110.3371,19.9827,2017,5,1
22405,444856,17592367972064,2017-05-01 08:34:28,2017-05-01 08:31:24,110.3581,19.9834,110.3506,20.0012,2017,5,1
22406,444857,17592368101216,2017-05-01 08:42:25,2017-05-01 08:38:40,110.3623,19.9121,110.3466,19.9865,2017,5,1
22548,444999,17592367996527,2017-05-01 08:39:19,2017-05-01 08:36:39,110.3443,19.9842,110.3115,20.0249,2017,5,1
22549,445000,17592368285990,2017-05-01 08:54:28,2017-05-01 08:53:00,110.3218,20.0268,110.3536,20.0426,2017,5,1
22619,445070,17592367874477,2017-05-01 08:41:05,2017-05-01 08:32:11,110.4824,19.9804,110.3108,20.0148,2017,5,1
22620,445071,17592368186258,2017-05-01 08:51:42,2017-05-01 08:45:41,110.3526,19.9999,110.3138,19.9937,2017,5,1
22621,445072,17592368303302,2017-05-01 08:59:02,2017-05-01 08:56:33,110.3401,20.0031,110.2899,20.0131,2017,5,1
22684,445135,17592368199496,2017-05-01 08:57:31,2017-05-01 08:48:23,110.2937,19.958,110.3154,20.023,2017,5,1
22685,445136,17592368344672,2017-05-01 08:57:10,2017-05-01 08:53:19,110.2581,19.9393,110.3546,19.9962,2017,5,1
22813,445264,17592367833425,2017-05-01 08:30:46,2017-05-01 08:25:27,110.3357,20.0236,110.315,19.9842,2017,5,1
22814,445265,17592368255307,2017-05-01 08:49:08,2017-05-01 08:46:43,110.3249,20.028,110.3566,20.0266,2017,5,1
22891,445342,17592367845818,2017-05-01 08:33:41,2017-05-01 08:15:16,110.2867,20.0202,110.3305,20.0333,2017,5,1
22892,445343,17592368275532,2017-05-01 08:53:45,2017-05-01 08:50:51,110.3384,20.0262,110.3173,20.0261,2017,5,1
22967,445418,17592367508733,2017-05-01 08:07:24,2017-05-01 08:02:42,110.3346,20.0632,110.3786,19.9892,2017,5,1
22968,445419,17592367715698,2017-05-01 08:15:22,2017-05-01 08:11:24,110.3403,20.0033,110.364,19.9785,2017,5,1
22969,445420,17592368192955,0000-00-00 00:00:00,2017-05-01 08:47:02,110.4634,19.9369,110.316,20.0236,2017,5,1
23039,445490,17592367613688,2017-05-01 08:12:47,2017-05-01 08:09:39,110.3447,20.0343,110.3558,20.024,2017,5,1
23040,445491,17592368275592,2017-05-01 08:55:37,2017-05-01 08:50:52,110.3124,20.0277,110.3745,20.0175,2017,5,1
23098,445549,17592367696460,2017-05-01 08:12:13,2017-05-01 08:06:30,110.3433,19.9841,110.2996,19.9758,2017,5,1
23099,445550,17592367901287,2017-05-01 08:32:52,2017-05-01 08:28:22,110.3406,19.9596,110.32,20.0675,2017,5,1
23100,445551,17592368018451,2017-05-01 08:48:36,2017-05-01 08:41:10,110.4634,19.9369,110.4392,19.9645,2017,5,1
23101,445552,17592368219122,2017-05-01 08:57:21,2017-05-01 08:52:25,110.3306,19.9952,110.2995,20.0233,2017,5,1
23102,445553,17592368254437,2017-05-01 09:00:08,2017-05-01 08:58:17,110.3568,20.0676,110.3621,20.0623,2017,5,1
23160,445611,17592367673708,2017-05-01 08:04:06,2017-05-01 08:00:26,110.3426,20.0236,110.3217,20.0278,2017,5,1
23161,445612,17592368016648,2017-05-01 08:47:01,2017-05-01 08:40:48,110.2909,19.9756,110.2945,19.9862,2017,5,1
23162,445613,17592368197259,2017-05-01 08:51:25,2017-05-01 08:47:55,110.3406,20.0334,110.3232,20.0058,2017,5,1
23223,445674,17592367757691,2017-05-01 08:13:47,2017-05-01 08:09:15,110.3236,20.0107,110.3315,20.0194,2017,5,1
23224,445675,17592367793895,0000-00-00 00:00:00,2017-05-01 08:18:11,110.3222,20.0222,110.3462,20.0505,2017,5,1
23225,445676,17592367810039,2017-05-01 08:32:55,2017-05-01 08:22:04,110.2995,20.0175,110.3534,20.049,2017,5,1
23226,445677,17592368160282,2017-05-01 08:46:47,2017-05-01 08:40:25,110.3756,19.9899,110.3203,20.0053,2017,5,1
23227,445678,17592368179333,2017-05-01 08:52:24,2017-05-01 08:49:50,110.3647,20.0004,110.3751,19.9946,2017,5,1
23297,445748,17592367644317,2017-05-01 08:21:06,2017-05-01 08:14:55,110.3391,20.0045,110.3315,20.0194,2017,5,1
23298,445749,17592367828844,0000-00-00 00:00:00,2017-05-01 08:26:27,110.33,20.0616,110.3359,19.9992,2017,5,1
23299,445750,17592367905648,2017-05-01 08:32:58,2017-05-01 08:29:21,110.3699,20.0106,110.3329,20.0296,2017,5,1
23300,445751,17592367973131,2017-05-01 08:34:34,2017-05-01 08:31:39,110.3767,20.0148,110.3292,20.0293,2017,5,1
23364,445815,17592367711956,2017-05-01 08:14:08,2017-05-01 08:10:27,110.3212,20.0715,110.3502,19.9948,2017,5,1
23365,445816,17592368153898,2017-05-01 08:44:39,2017-05-01 08:39:07,110.4716,19.9819,110.4314,19.9688,2017,5,1
23423,445874,17592367230747,2017-05-01 08:08:21,2017-05-01 08:20:00,110.2963,19.9784,110.3433,19.9841,2017,5,1
23425,445876,17592368056109,2017-05-01 08:51:46,2017-05-01 08:47:13,110.3258,20.0455,110.361,20.0246,2017,5,1
