OD_id,origin_id,destination_id,lambda
70,7.0,2206.0,0.0015873015873015873
71,7.0,2209.0,0.0007936507936507937
72,7.0,2211.0,0.0007936507936507937
73,7.0,2220.0,0.0015873015873015873
74,7.0,2226.0,0.0007936507936507937
75,7.0,2233.0,0.0007936507936507937
76,7.0,2238.0,0.0007936507936507937
77,7.0,2243.0,0.0015873015873015873
78,7.0,2388.0,0.003968253968253968
79,7.0,2404.0,0.0007936507936507937
80,7.0,2658.0,0.0015873015873015873
81,7.0,3222.0,0.0007936507936507937
82,7.0,3223.0,0.0007936507936507937
83,7.0,3269.0,0.0007936507936507937
84,7.0,3283.0,0.0015873015873015873
85,7.0,3304.0,0.0007936507936507937
86,7.0,3392.0,0.0007936507936507937
87,7.0,3627.0,0.0007936507936507937
88,7.0,3664.0,0.0015873015873015873
89,7.0,3694.0,0.0007936507936507937
90,8.0,1179.0,0.0007936507936507937
91,8.0,2204.0,0.0007936507936507937
92,8.0,2388.0,0.0007936507936507937
93,9.0,38.0,0.0007936507936507937
94,9.0,60.0,0.0007936507936507937
95,9.0,64.0,0.0007936507936507937
96,9.0,130.0,0.0031746031746031746
97,9.0,431.0,0.0007936507936507937
98,9.0,469.0,0.0007936507936507937
99,9.0,803.0,0.0007936507936507937
100,9.0,823.0,0.0007936507936507937
101,9.0,874.0,0.0007936507936507937
102,9.0,1023.0,0.0007936507936507937
103,9.0,1071.0,0.0007936507936507937
104,9.0,1076.0,0.0007936507936507937
105,9.0,1085.0,0.0015873015873015873
106,9.0,1093.0,0.0007936507936507937
107,9.0,1327.0,0.0007936507936507937
108,9.0,1744.0,0.0007936507936507937
109,9.0,1773.0,0.0007936507936507937
110,9.0,1784.0,0.004761904761904762
111,9.0,2143.0,0.0007936507936507937
112,9.0,2222.0,0.0031746031746031746
113,9.0,2228.0,0.0007936507936507937
114,9.0,2232.0,0.0015873015873015873
115,9.0,2238.0,0.0007936507936507937
116,9.0,2355.0,0.0007936507936507937
117,9.0,2363.0,0.0007936507936507937
118,9.0,2388.0,0.006349206349206349
119,9.0,2390.0,0.0015873015873015873
120,9.0,2659.0,0.0007936507936507937
121,9.0,2813.0,0.002380952380952381
122,9.0,3219.0,0.0007936507936507937
123,9.0,3269.0,0.0015873015873015873
124,9.0,3278.0,0.0007936507936507937
125,9.0,3347.0,0.0007936507936507937
126,9.0,3370.0,0.0007936507936507937
127,9.0,3411.0,0.0007936507936507937
128,9.0,3694.0,0.0015873015873015873
129,10.0,62.0,0.0015873015873015873
130,10.0,161.0,0.0007936507936507937
131,10.0,469.0,0.0015873015873015873
132,10.0,533.0,0.0015873015873015873
133,10.0,535.0,0.0007936507936507937
134,10.0,776.0,0.0007936507936507937
135,10.0,803.0,0.0007936507936507937
136,10.0,1048.0,0.0007936507936507937
137,10.0,1057.0,0.0007936507936507937
138,10.0,1080.0,0.0007936507936507937
139,10.0,1085.0,0.0007936507936507937
140,10.0,1091.0,0.0007936507936507937
141,10.0,1093.0,0.0007936507936507937
142,10.0,1158.0,0.0015873015873015873
143,10.0,1311.0,0.0007936507936507937
144,10.0,1318.0,0.0007936507936507937
145,10.0,1327.0,0.0015873015873015873
146,10.0,1332.0,0.0007936507936507937
147,10.0,1738.0,0.0007936507936507937
148,10.0,2011.0,0.0007936507936507937
149,10.0,2178.0,0.0007936507936507937
150,10.0,2181.0,0.0007936507936507937
151,10.0,2192.0,0.0007936507936507937
152,10.0,2196.0,0.0007936507936507937
153,10.0,2220.0,0.0007936507936507937
154,10.0,2222.0,0.0007936507936507937
155,10.0,2230.0,0.0007936507936507937
156,10.0,2251.0,0.0007936507936507937
157,10.0,2388.0,0.0031746031746031746
158,10.0,2400.0,0.0007936507936507937
159,10.0,3270.0,0.0007936507936507937
160,10.0,3384.0,0.0007936507936507937
